id,name,line_id
1,Бульвар Рокоссовского,1
2,Черкизовская,1
3,Преображенская площадь,1
4,Сокольники,1
5,Красносельская,1
6,Комсомольская СЛ,1
7,Красные ворота,1
8,Чистые пруды,1
9,Лубянка,1
10,Охотный ряд,1
11,Библиотека имени Ленина,1
12,Кропоткинская,1
13,Парк культуры СЛ,1
14,Фрунзенская,1
15,Спортивная,1
16,Воробьёвы горы,1
17,Университет,1
18,Проспект Вернадского,1
19,Юго-Западная,1
20,Тропарёво,1
21,Румянцево,1
22,Саларьево,1
266,Филатов Луг,1
267,Прокшино,1
268,Ольховая,1
269,Коммунарка,1
244,Ховрино,2
260,Беломорская,2
23,Речной вокзал,2
24,Водный стадион,2
25,Войковская,2
26,Сокол,2
27,Аэропорт,2
28,Динамо,2
29,Белорусская ЗЛ,2
30,Маяковская,2
31,Тверская,2
32,Театральная,2
33,Новокузнецкая,2
34,Павелецкая ЗЛ,2
35,Автозаводская,2
36,Технопарк,2
37,Коломенская,2
38,Каширская ЗЛ,2
39,Кантемировская,2
40,Царицыно,2
41,Орехово,2
42,Домодедовская,2
43,Красногвардейская,2
44,Алма-Атинская,2
45,Пятницкое шоссе,3
46,Митино,3
47,Волоколамская,3
48,Мякинино,3
49,Строгино,3
50,Крылатское,3
51,Молодёжная,3
52,Кунцевская АПЛ,3
53,Славянский бульвар,3
54,Парк победы АПЛ,3
55,Киевская АПЛ,3
56,Смоленская АПЛ,3
57,Арбатская АПЛ,3
58,Площадь революции,3
59,Курская АПЛ,3
60,Бауманская,3
61,Электрозаводская,3
62,Семёновская,3
63,Партизанская,3
64,Измайловская,3
65,Первомайская,3
66,Щёлковская,3
67,Кунцевская ФЛ,4
68,Пионерская,4
69,Филёвский парк,4
70,Багратионовская,4
71,Фили,4
72,Кутузовская,4
73,Студенческая,4
74,Киевская ФЛ,4
77,Смоленская ФЛ,4
78,Арбатская ФЛ,4
79,Александровский сад,4
450,Москва-Сити ФЛ,4
449,Деловой центр ФЛ,4
80,Комсомольская КЛ,5
81,Курская КЛ,5
82,Таганская КЛ,5
83,Павелецкая КЛ,5
84,Добрынинская,5
85,Октябрьская КЛ,5
86,Парк культуры КЛ,5
87,Киевская КЛ,5
88,Краснопресненская,5
89,Белорусская КЛ,5
90,Новослободская,5
91,Проспект мира КЛ,5
92,Медведково,6
93,Бабушкинская,6
94,Свиблово,6
95,Ботанический сад,6
96,ВДНХ,6
97,Алексеевская,6
98,Рижская,6
99,Проспект Мира КРЛ,6
100,Сухаревская,6
101,Тургеневская,6
102,Китай город КРЛ,6
103,Третьяковская КРЛ,6
104,Октябрьская КРЛ,6
105,Шаболовская,6
106,Ленинский проспект,6
107,Академическая,6
108,Профсоюзная,6
109,Новые Черёмушки,6
110,Калужская,6
111,Беляево,6
112,Коньково,6
113,Тёплый стан,6
114,Ясенево,6
115,Новоясеневская,6
116,Планерная,7
117,Сходненская,7
118,Тушинская,7
119,Спартак,7
120,Щукинская,7
121,Октябрьское поле,7
122,Полежаевская,7
123,Беговая,7
124,Улица 1905 года,7
125,Баррикадная,7
126,Пушкинская,7
127,Кузнецкий мост,7
128,Китай-город ТКЛ,7
129,Таганская ТКЛ,7
130,Пролетарская,7
131,Волгоградский проспект,7
132,Текстильщики,7
133,Кузьминки,7
134,Рязанский проспект,7
135,Выхино,7
136,Лермонтовский проспект,7
137,Жулебино,7
138,Котельники,7
146,Третьяковская КЛ,8
145,Марксистская,8
144,Площадь Ильича,8
143,Авиамоторная,8
142,Шоссе Энтузиастов,8
141,Перово,8
140,Новогиреево,8
139,Новокосино,8
147,Деловой центр,8
148,Парк Победы СЛ,8
241,Минская,8
242,Ломоносовский проспект,8
243,Раменки,8
253,Мичуринский проспект,8
254,Озерная,8
255,Говорово,8
256,Солнцево,8
257,Боровское шоссе,8
258,Новопеределкино,8
259,Рассказовка,8
408,Пыхтино,8
409,Аэропорт Внуково,8
149,Алтуфьево,9
150,Бибирево,9
151,Отрадное,9
152,Владыкино,9
153,Петровско-Разумовская,9
154,Тимирязевская,9
155,Дмитровская,9
156,Савеловская,9
157,Менделеевская,9
158,Цветной бульвар,9
159,Чеховская,9
160,Боровицкая,9
161,Полянка,9
162,Серпуховская,9
163,Тульская,9
164,Нагатинская,9
165,Нагорная,9
166,Нахимовский проспект,9
167,Севастопольская,9
168,Чертановская,9
169,Южная,9
170,Пражская,9
171,Улица Академика Янгеля,9
172,Аннино,9
173,Бульвар Дмитрия Донского,9
412,Физтех,10
411,Лианозово,10
410,Яхромская,10
250,Селигерская,10
251,Верхние Лихоборы,10
252,Окружная,10
234,Петровско-Разумовская ЛДЛ,10
233,Фонвизинская,10
232,Бутырская,10
174,Марьина Роща,10
175,Достоевская,10
176,Трубная,10
177,Сретенский бульвар,10
178,Чкаловская,10
179,Римская,10
180,Крестьянская застава,10
181,Дубровка,10
182,Кожуховская,10
183,Печатники,10
184,Волжская,10
185,Люблино,10
186,Братиславская,10
187,Марьино,10
188,Борисово,10
189,Шипиловская,10
190,Зябликово,10
261,БКЛ Савеловская,11
249,БКЛ Петровский Парк,11
248,БКЛ ЦСКА,11
247,БКЛ Хорошёвская,11
341,БКЛ Народное Ополчение,11
342,БКЛ Мнёвники,11
343,БКЛ Терехово,11
344,БКЛ Кунцевская,11
345,БКЛ Давыдково,11
346,БКЛ Аминьевская,11
347,БКЛ Мичуринский проспект,11
348,БКЛ Проспект Вернадского,11
349,БКЛ Новаторская,11
350,БКЛ Воронцовская,11
351,БКЛ Зюзино,11
191,БКЛ Каховская,11
364,БКЛ Варшавская,11
365,БКЛ Каширская,11
353,БКЛ Кленовый бульвар,11
354,БКЛ Нагатинский Затон,11
